登場人物,セリフ,備考,番号
解説者,"平将門と聞くと、
「日本三大怨霊」「祟り神」そんな恐ろしいイメージを持つ人も多いだろう。",冒頭,1
解説者,"だが、
その祟りの噂ばかりが独り歩きして、
将門が生きている間に一体何をした人物なのかは、
意外と知られていない。",冒頭,2
解説者,"しかも東京・大手町の超一等地には、
今もその首塚だけがポツンと残され、
国家規模の開発計画が二度も中止に追い込まれている。",冒頭,3
解説者,"果たして、
平将門はなぜ千年も恐れられる怨霊となったのだろうか？",冒頭,4
解説者,"今回は、
平将門について議論を繰り広げる、
2ちゃんねるの歴史オタクたちを見ていこう。",冒頭,5
解説者,"この動画を見れば、
平将門の祟りの正体と、
その壮絶な生涯がきっとわかるだろう。",冒頭,6
男性A,大手町のド真ん中に将門の首塚だけ残ってる理由ｗｗｗ,スレ①,1
女性B下,また出たなこの話,スレ①,2
男性C,例のやつか,スレ①,3
女性D,あー呪われたわ,スレ①,4
男性E,首だけ飛んできたやべえおっさんやろ,スレ①,5
男性A,"ただのオカルトを真に受けすぎや、
ぜんぶ偶然やって",スレ①,6
女性B,ソースは？,スレ①,7
男性C大,"いや偶然で済ますには無理あるって。
関東大震災のあと、
あの跡地に大蔵省の仮庁舎を建てようとしたら、
工事関係者や省の職員が立て続けに倒れて、
当時の大蔵大臣の早速整爾まで亡くなった。
省内で「将門の祟りや」って噂が広がって、
結局その仮庁舎は取り壊しになった",スレ①,8
女性D,ファッ!?大臣まで逝ったんか,スレ①,9
男性E,草どころちゃうわ,スレ①,10
男性A,役所が建てたもん壊すとか相当やぞ,スレ①,11
女性B下,役人もそらビビるわな,スレ①,12
男性C,"早速整爾って総理大臣やっけ？
それで騒ぎになったんちゃうの",スレ①,13
女性D下,"ちゃう、
大蔵大臣や。
総理と混同したら話の重みが変わるから、
ちゃんと覚えとけ",スレ①,14
男性E,"お、
おう…とにかく偉い人が立て続けに倒れたんやな",スレ①,15
解説者,"大蔵省仮庁舎の祟りとは、
関東大震災のあと、
首塚の跡地に建てられた大蔵省の仮庁舎で相次いだ不審な出来事を指す。",解説：大蔵省仮庁舎の祟り,1
解説者,"工事の関係者や省の職員が次々と体調を崩し、
当時の大蔵大臣・早速整爾までもが在任中に亡くなったことで、
将門の祟りだと省内で噂された。",解説：大蔵省仮庁舎の祟り,2
解説者,"国はわざわざ建てた仮庁舎を取り壊し、
跡地に鎮魂の碑を建てている。",解説：大蔵省仮庁舎の祟り,3
解説者,"国家機関が一度建てた庁舎を祟りを理由に解体した、
極めて異例の出来事として語り継がれている。",解説：大蔵省仮庁舎の祟り,4
男性A,"でもその年代の偉い人なんて立て続けに亡くなるやろ、
こじつけやって",スレ①,16
女性B下,"それな、
後から祟りってことにしただけやろ",スレ①,17
男性C,"一回ならまだしも、
これ二回あるからタチ悪い",スレ①,18
女性D大,"戦後にもう一回ある。
今度は大手町を区画整理するとき、
塚も邪魔やからって整地しようとしたら、
重機が作業中に横転して運転手が亡くなった。
記録に残ってる話や。
震災のときも戦後も、
国が二回ともどかすのを諦めてる",スレ①,19
男性E,"天下の国家事業が二度も引っ込むとか、
相当ヤバい",スレ①,20
男性A下,"国家事業が塚一個に二回も負けるって、
もう完全に格上やん。
普通は更地にして終わりやのに、
それができへんかった時点で相当やで",スレ①,21
女性B,国家権力に二連勝してる時点で将門つよすぎ,スレ①,22
男性C,"お役所がオカルトでビビって引くとかあるか？
知らんけど",スレ①,23
女性D下,"まあ伝説で盛られてるとこもあるやろけど、
塚が一等地に今も残ってるのは事実やしな",スレ①,24
男性E,"国がビビって引くレベルの塚とか、
もう普通にパワースポットやん",スレ①,25
男性A,"首塚って京都にあるんちゃうの？
晒し首にされたんやろ",スレ①,26
女性B下,"晒されたのは京都や。
そこから首が夜空に舞い上がって関東に飛んで戻って落ちた。
その伝承地が大手町やで",スレ①,27
男性C,はえ〜首が自走するんか,スレ①,28
解説者,"将門塚、
いわゆる平将門の首塚とは、
討たれた将門の首を祀ったとされる塚である。",解説：将門の首塚,1
解説者,"伝承では、
京で晒された将門の首が関東へ飛んで戻り、
落ちた場所に築かれたとされ、
東京・大手町に今も残っている。",解説：将門の首塚,2
解説者,"この地に手を加えると祟りがあるとされ、
たびたび不審な出来事が噂されてきた。",解説：将門の首塚,3
解説者,"将門は菅原道真・崇徳上皇と並ぶ日本三大怨霊の一柱とされる一方、
神田明神では江戸を守る祭神として篤く祀られている存在でもある。",解説：将門の首塚,4
女性D,ホラーすぎて草も生えん,スレ①,29
男性E大,"京都で晒された将門の首が「胴体はどこや」って叫びながら夜空を東へ飛んで、
力尽きて落ちたのが今の大手町や。
しかも落ちた候補地は一か所ちゃう、
各地に「ここが本物の首塚」って伝承地が点々と残ってる",スレ①,30
男性A,力尽きた先が一等地ってセンスよ,スレ①,31
女性B,てかその大手町の土地って今いくらすんの,スレ①,32
男性C下,"丸の内のど真ん中で、
更地でも数十億の超一等地や。
普通ならビルが何本も建つのに塚だけ残して、
再開発のたびに「ここは触らんとこ」って避けてる",スレ①,33
